Champions League,Champions League bets,UEFA Champions League Group Stage,Champions League Grupo A (Man United),Champions League Grupo B (Bayern-PSG),Champions League Grupo C (Atletico Madrid),Champions League Grupo D (Barcelona-Juventus)
Champions League Woman,Champions League Women (90) bets,,,,,,,,,,,,,,,,,,,,,,,
Amistosos,Friendlies bets,Amistosos internacionales Sub 19,Friendlies Internationals,Friendlies Clubs,Friendlies Internationals U-19,Clubes  ,Amistosos de clubes,Friendly Tournaments Internationals U-19 ,Internacional Clubes Amistosos de Clubes,Internacional Junior Partidos Amistosos Sub-19,Internacional Junior Partidos Amistosos Sub-21,Internacional Junior Partidos Amistosos Internacionales Sub-20
Germany,Germany Bundesliga bets,Alemania - Bundesliga,Germany Second League bets,Germany Fourth League Northeast bets,Germany Fourth League North bets,Germany Fourth League Southwest bets,Germany Fourth League West bets,Germany Fourth League Bavaria bets,Germany Third League bets,Germany U19 AJuniors Bundesliga (90) bets,Germany Bundesliga 2,Germany 3rd Liga,Germany Regionalliga,German Oberliga Bayern,Women Germany ,Alemania - Regionalliga Norte,femenino  Alemania  Bundesliga femenina  ,,,,,,,
England,England Premier League bets,Inglaterra - Premier League,Unido Inglaterra Premier League,England Championship bets,England League One bets,England League Two bets,England National League bets,England National League North bets,England National League South bets,England Premier League 2,EFL Trophy,England League 1,England Professional Development League 2 U-23,g,Inglaterra Copa FA, England FA Cup bets,Unido  Inglaterra  Copa FA Clasificacin  ,Inglaterra Liga Uno,Inglaterra Liga Dos,Inglaterra Carabao Cup
Italy,Italy Serie A bets,Italia - Serie A,Italy Series B bets,Italy Lega Pro Girone B bets,Italy Lega Pro Girone A bets,Italy Lega Pro Girone C bets,Italy Serie B,Coppa Italia - Lega Pro,  Lega Pro Cup  ,Ecuador Serie A,Italian Serie C Girone A,Italia Liga Pro, Ecuador  Primera A  
Spain,Spain Premier Division bets,LaLiga,La Liga,Spain Primera Division,Spain Segunda Division bets,Spain Segunda B Group 1 bets,Spain Segunda B Group 4 bets,Spain Segunda B Group 2 bets,Spain Segunda B Group 3 bets,LaLiga123,Espaa - Segunda B (Grupo 2),Espaa - Segunda B (Grupo 3),Espaa - Segunda B (Grupo 4),Tercera Division,Espaa - Tercera Divisin, Spain Cup bets,Espaa - Copa Federacin,Espaa - Copa del Rey,Women Spain ,femenino  Spain  Womens Superliga  ,Spanish Tercera Division,3 Divisin - Grupo V ,3 Divisin - Grupo III ,Espaa Amateur Tercera Divisin,superliga femenina spain
France,France Ligue 1 bets,Francia - Ligue 1,France Ligue 2 bets,France Championnat National bets,Francia Nacional,France U-19 League,French Championnat National U19,Francia (M) Divisin 1 Femenina,,,,,,,,,,,,,,,,
Switzerland,Switzerland Super League bets,Switzerland Challenge League bets, Switzerland  1. Liga Promotion  ,Suiza Liga Erste Ascenso,,,,,,,,,,,,,,,,,,,,
Austria,Austria Bundesliga bets,Austria Third League East bets,Austria Third League Centre bets,Austria Third League West bets,Austria Regionalliga,Austria - Kerschdorfer Tirol Cup,Austria - SFV Stiegl Cup,Austrian Erste Liga,Austria Liga Primera Divisin
Scotland,Scotland Premiership bets,Scotland Championship bets,Scotland League One bets,Scotland League Two bets,Escocia - Premiership,Scotland Challenge Cup ,Scotland U-20 League,Escocia - Football League Challenge Cup,Escocia - SPFL Development League,Escocia - SPFL Development League 2,Unido  Escocia  Development League  ,Escocia Copa Challenge,Escocia - Copa William Hill,Ladbrokes Premiership,,,,,,,,,,
Portugal,Portugal Primeira Liga bets,Portugal Segunda Liga bets,Portugal - Primeira Liga,Portugal - Liga2,Portugal League Cup ,Portugal Copa de Liga,Portugal - Copa de la Liga,Liga Sagres,Liga de Honra,Portuguese League Cup,Liga Portuguesa 2 Div. ,Portugal Primera Liga
Holland,Holland Ehrendivision bets,Holland Second Division bets,Holanda - Liga Eredivisie,Netherlands Eerste Divisie,Pases Bajos Eerste Divisie,Women Netherlands ,Dutch Eerste Divisie,femenino  Holanda  Femenino Eredivisie  ,femenino  Holanda  Femenino Eredivisie  , Netherlands  Reserve League  
Belgium,Belgium First Division A bets,Belgium 1st Division A,Blgica - Primera Divisin A,Belgium 1st Division B,Jupiler League,Blgica Tweede Klaase ,Blgica Pro League 1A,Liga Jpiler, Blgica  Reserve League  
Turkey,Turkey Sper Lig bets,Turkey First League bets,Turqua - Super liga,Turqua TFF League 1,Turkey Cup ,Turqua - Copa (Kupasi), Turqua  Copa  ,Turqua Superliga Spor Toto,Turqua Primera Divisin,Turkey 1st League, Turquia  Sub 21 Super Lig  
Greece,Greece First League bets,Greece Super League,Grecia - Super League,Grecia - Copa, Copa del Grecia  ,Grecia Superliga
Cyprus,Cyprus Division 1 bets,Cyprus 1st Division,Chipre Division 1,Chipre 1 Divisin
Russia,Russia Premier League bets,Russia 2nd Division Ural Volga bets,Russia 1st League bets,Rusia - Premier League,Rusia Division 1,Russia FNL,Russia Premier Reserve League, Russia 2 Division  ,Rusia PFL, Russia 2nd Division Central bets, Russia 2nd Division West bets,Rusia Liga Nacional de Ftbol,femenino  Russia  Womens Premier League  ,Russian Women Premier Division,,,,,,,,,,
Denmark,Denmark Superleague bets,Denmark First Division bets,Denmark Superliga,Denmark 1st Division,Denmark Cup ,Dinamarca -  Elitedivisionen Femenina, Dinamarca  DBU Pokalen  ,femenino  Denmark  Womens Elitedivisionen  , Denmark  Series  ,Dinamarca 1 Divisin,Superligaen,Danish 1st Division,,,,,,,,,,,,
Denmark woman,Denmark Elitedivisionen Women bets,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Sweden Allsvenskan bets,Sweden Superettan bets,Sweden Division 1 Sodra bets,Sweden Division 1 Norra bets,Sweden 2nd Division Norrland bets,Suecia Superettan,Women Sweden ,Suecia - Superettan,Suecia Divisin 2,Suecia Divisin 1, Sweden 2nd Division Vastra Gotaland bets,Swedish Allsvenskan U19,Division Norra Svealand,femenino  Sweden  Womens Allsvenskan  ,,,,,,,,,,
Norway,Norway Cup (90) bets,Norway 2nd Division Group 1 bets,Norway 3rd Division bets,Norway 2nd Division Group 2 bets,Norway Eliteserien, Noruega  Division 3  ,Noruega 2 Divisin,Norway 1st Division,Noruega (M) Toppserien,Adeccoligaen,Noruega - Tippeligaen
Norway Woman,Norway Toppserien Women bets,,,,,,,,,,,,,,,,,,,,,,,
