sport,casa de apostes,equipo1,equipo2,cuota1,cuotaX,cuota2,lliga
Futbol,Interwetten,Bonner SC,SV Westfalia Rhynern,2.0,3.4,3.3,Germany
Futbol,Interwetten,KFC Uerdingen 05,Verl,1.7,3.6,4.3,Germany
Futbol,Interwetten,Borussia Dortmund,FC Viktoria Kln,3.75,3.75,1.75,Germany
Futbol,Interwetten,SC Wiedenbrueck,FC Wegberg-Beeck,1.95,3.45,3.4,Germany
Futbol,Interwetten,TuS Erndtebruck,Oberhausen,5.75,4.3,1.45,Germany
Futbol,Interwetten,Fortuna Dusseldorf,TSV Alemannia Aachen,4.05,3.6,1.75,Germany
Futbol,Interwetten,FC Koln,Monchengladbach,4.0,3.65,1.75,Germany
Futbol,Interwetten,Brighton,Bournemouth,3.3,3.35,2.2,England
Futbol,Interwetten,Stoke City,Newcastle United,3.15,3.3,2.3,England
Futbol,Interwetten,Burnley,Liverpool,9.5,5.5,1.3,England
Futbol,Interwetten,Leicester City,Huddersfield Town,2.65,3.3,2.65,England
Futbol,Interwetten,Arsenal,Chelsea,4.3,3.5,1.85,England
Futbol,Interwetten,Southampton,Crystal Palace,2.3,3.3,3.15,England
Futbol,Interwetten,Manchester City,Watford,1.35,5.3,8.0,England
Futbol,Interwetten,West Ham,West Bromwich,3.15,3.3,2.3,England
Futbol,Interwetten,Swansea,Tottenham Hotspur,10.5,5.8,1.27,England
Futbol,Interwetten,Everton,Manchester United,8.2,5.5,1.33,England
Futbol,Interwetten,Fulham,Burton Albion FC,1.85,3.6,3.85,England
Futbol,Interwetten,Q.P.R.,Middlesbrough,4.75,3.6,1.7,England
Futbol,Interwetten,Sheffield Wednesday,Cardiff City,3.7,3.25,2.0,England
Futbol,Interwetten,Sunderland,Hull City,3.5,3.3,2.05,England
Futbol,Interwetten,Norwich,Sheffield United,2.75,3.35,2.4,England
Futbol,Interwetten,Leeds United,Millwall,2.55,3.15,2.7,England
Futbol,Interwetten,Wolverhampton,Nottingham Forest,2.15,3.3,3.25,England
Futbol,Interwetten,Bolton,Ipswich,3.75,3.35,1.95,England
Futbol,Interwetten,Reading,Brentford,3.45,3.5,2.0,England
Futbol,Interwetten,Derby County,Bristol City,2.85,3.25,2.35,England
Futbol,Interwetten,Preston North End,Birmingham City,2.75,3.15,2.5,England
Futbol,Interwetten,Aston Villa FC,Barnsley,2.05,3.35,3.35,England
Futbol,Interwetten,Plymouth Argyle,Bury,2.85,3.25,2.3,England
Futbol,Interwetten,Charlton Athletic,Gillingham,1.9,3.4,3.55,England
Futbol,Interwetten,Rochdale,Milton Keynes Dons,3.35,3.25,2.0,England
Futbol,Interwetten,Bristol Rovers,Wigan,4.4,3.6,1.7,England
Futbol,Interwetten,Shrewsbury Town,Oldham,2.4,3.05,2.8,England
Futbol,Interwetten,Rotherham,Bradford City,3.15,3.25,2.1,England
Futbol,Interwetten,Oxford United,Blackpool,2.6,3.15,2.55,England
Futbol,Interwetten,Northampton,Southend,3.55,3.35,1.9,England
Futbol,Interwetten,AFC Wimbledon,Blackburn Rovers,5.25,3.65,1.55,England
Futbol,Interwetten,Fleetwood Town,Portsmouth,3.6,3.2,1.95,England
Futbol,Interwetten,Peterborough,Walsall,2.45,3.25,2.6,England
Futbol,Interwetten,Scunthorpe United,Doncaster,2.85,3.25,2.25,England
Futbol,Interwetten,Luton,Wycombe,2.25,3.2,2.8,England
Futbol,Interwetten,Accrington,Chesterfield,2.1,3.25,3.1,England
Futbol,Interwetten,Stevenage,Swindon,3.0,3.15,2.2,England
Futbol,Interwetten,Barnet,Carlisle,2.95,3.25,2.15,England
Futbol,Interwetten,Forest Green Rovers,Port Vale,2.9,3.2,2.2,England
Futbol,Interwetten,Coventry City,Cambridge,2.7,3.05,2.4,England
Futbol,Interwetten,Notts County,Crawley Town,2.1,3.2,3.15,England
Futbol,Interwetten,Colchester United,Cheltenham,2.75,3.2,2.3,England
Futbol,Interwetten,Crewe,Exeter,3.65,3.35,1.85,England
Futbol,Interwetten,Newport,Morecambe,2.1,3.15,3.15,England
